date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths,continent
2022/1/21,South Sudan,26,0,16653,137,199,1,611,1,Africa
2022/1/21,Spain,141095,142,8975458,91741,882422,982,1810552,1807,Europe
2022/1/21,Sri Lanka,840,17,600203,15272,5207,82,9552,173,Asia
2022/1/21,Sudan,,0,53959,3393,,35,,53,Africa
2022/1/21,Summer Olympics 2020,0,,865,,0,,0,,Others
2022/1/21,Suriname,715,3,69275,1231,6541,23,12483,35,South America
2022/1/21,Sweden,42295,43,1784005,15674,223642,161,367355,297,Europe
2022/1/21,Switzerland,38002,10,1879319,12579,212878,115,396107,240,Europe
2022/1/21,Syria,40,3,50902,2962,261,21,438,41,Asia
2022/1/21,Taiwan,68,0,18109,851,417,0,851,1,Asia
2022/1/21,Tajikistan,0,0,17493,125,0,0,0,0,Asia
2022/1/21,Tanzania,,0,32393,753,,13,,13,Africa
2022/1/21,Thailand,8112,19,2369814,22019,61199,121,117038,220,Asia
2022/1/21,Timor,0,0,19866,122,5,0,11,0,Asia
2022/1/21,Togo,,0,36176,266,,5,,14,Africa
2022/1/21,Tonga,0,,1,,0,,0,,Oceania
2022/1/21,Trinidad and Tobago,1259,22,105264,3278,5484,122,9194,268,North America
2022/1/21,Tunisia,9787,31,826838,25912,55661,157,88396,269,Africa
2022/1/21,Turkey,72555,181,10808770,85600,469673,1322,958282,2212,Asia
2022/1/21,Turks and Caicos Islands,82,1,5524,33,568,3,1769,7,North America
2022/1/21,Uganda,286,4,159807,3463,2580,78,9439,138,Africa
2022/1/21,Ukraine,20542,165,4003280,105545,84129,1024,126248,2111,Europe
2022/1/21,United Arab Emirates,2921,3,819866,2207,20801,22,39655,37,Asia
2022/1/21,United Kingdom,96056,290,15747291,153616,644993,1882,1521654,3756,Europe
2022/1/21,United States,879980,3567,70209840,864556,5140221,14298,10747947,26403,North America
2022/1/21,Upper middle income,794602,3014,95612922,2305841,4253222,16844,7466765,30352,Others
2022/1/21,Uruguay,12874,12,569037,6284,78411,70,131975,96,South America
2022/1/21,Uzbekistan,1321,3,210899,1532,7602,21,11141,44,Asia
2022/1/21,Vanuatu,0,0,7,1,0,0,0,0,Oceania
2022/1/21,Vatican,0,,29,,2,,2,,Europe
2022/1/21,Venezuela,2318,4,465463,5399,13033,23,19437,54,South America
2022/1/21,Vietnam,15935,177,2110737,36443,119253,1102,250896,2566,Asia
2022/1/21,Wallis and Futuna,0,0,454,7,0,0,0,0,Oceania
2022/1/21,World,3882501,10163,346464304,5585224,22639540,54634,43000632,103208,Others
2022/1/21,Yemen,78,0,10585,1995,352,7,426,9,Asia
2022/1/21,Zambia,616,6,300587,3885,6892,41,22311,95,Africa
2022/1/21,Zimbabwe,409,12,227961,5288,2324,50,6679,152,Africa
